Info,Info,Info,Objective,Objective,Extra Output,Variable,Variable,Variable
Iteration,Generation,Category,Cooling (Electric) (kWh),Heating (Gas) (kWh),Discomfort (All Clothing) (hr),Local shading type,Window Size,Site orientation (°)
484,13, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
485,13, ,204.449.753,1.564.855.316,3.785.000,1.5m Overhang,"Height: 3.6m, Width: 2.5m",0
486,13, ,268.478.489,178.255.782,10.610.000,1m Sidefin,"Height: 3.6m, Width: 2.5m",315
487,13, ,134.461.223,555.580.936,1.015.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",90
488,13,Pareto,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
489,13, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
490,13, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
491,13, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
492,13, ,166.960.757,2.361.742.605,840.000,2.5m Overhang,"Height: 3.6m, Width: 5m",0
493,13,Pareto,1.053.798.063,65.648.692,1.450.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 1m",180
494,13, ,1.083.241.469,6.230.275.678,1.225.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
495,13, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
496,13, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
497,13, ,24384.43,186.406.472,8.745.000,1.0m Overhang,"Height: 3.6m, Width: 1m",315
498,13, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
499,13, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
500,13, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
501,13, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
502,13, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
503,13, ,30.534.583,91.941.886,13.385.000,No shading,"Height: 3.6m, Width: 5m",0
504,13, ,224.968.183,2.048.083.115,6.250.000,1.5m Overhang,"Height: 3.6m, Width: 1m",45
505,13, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
506,13, ,1.041.945.468,6.597.356.278,1.425.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
507,13, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
508,13, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
509,14, ,118.360.904,557.277.864,1.000.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
510,14, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
511,14, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
512,14, ,187.129.904,1.855.387.734,2.200.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",0
513,14, ,1.778.683.435,4.992.588.624,6.420.000,2m Sidefin,"Height: 3.6m, Width: 5m",135
514,14, ,1.157.152.249,583.530.307,1.095.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
515,14, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
516,14, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
517,14, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
518,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
519,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
520,14, ,224.968.183,2.048.083.115,6.250.000,1.5m Overhang,"Height: 3.6m, Width: 1m",45
521,14, ,213.175.519,2.445.227.816,6.550.000,0.2m Louvre,"Height: 3.6m, Width: 1m",315
522,14, ,118.360.904,557.277.864,1.000.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
523,14, ,1.157.152.249,583.530.307,1.095.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
524,14, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
525,14, ,284.683.875,173.420.745,14.000.000,0.5m Overhang,"Height: 3.6m, Width: 2.5m",45
526,14, ,1.061.363.068,6.447.869.851,1.345.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
527,14, ,129.918.229,436.964.205,545.000,5m Overhang,"Height: 3.6m, Width: 1m",45
528,14, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
529,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
530,14, ,1.208.838.221,520.900.623,765.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",45
531,14, ,301.586.834,172.958.609,14.835.000,1m Sidefin,"Height: 3.6m, Width: 5m",45
532,14, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
533,14, ,1.092.435.037,6.310.768.128,1.310.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",180
534,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
535,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
536,14, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
537,14, ,1.874.215.248,4.005.089.896,5.630.000,2.5m Overhang,"Height: 3.6m, Width: 5m",90
538,14, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
539,14, ,247.295.905,1.914.830.613,10.235.000,1.0m Overhang,"Height: 3.6m, Width: 1m",45
540,14, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
541,14, ,203.649.949,2.539.180.504,5.550.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",315
542,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
543,14, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
544,14, ,25.262.794,2.036.261.234,10.855.000,1.0m Overhang,"Height: 3.6m, Width: 10m",45
545,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
546,14, ,113.544.968,5.188.806.208,880.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 1m",0
547,14,Pareto,264.935.274,1.084.547.693,8.935.000,0.5m Overhang,"Height: 3.6m, Width: 10m",0
548,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
549,14, ,1.083.241.469,6.230.275.678,1.225.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
550,14, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
551,14, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
552,14, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
553,14, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
554,14, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
555,14, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
556,14, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
557,14, ,1.250.621.485,605.827.646,1.280.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",135
558,14, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
559,15, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
560,15, ,1.168.126.371,559.986.542,995.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",0
561,15, ,305.199.054,15.691.766,15.220.000,No shading,"Height: 3.6m, Width: 1m",45
562,15,Pareto,1.058.487.165,6.002.975.435,1.060.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
563,15, ,1.083.241.469,6.230.275.678,1.225.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
564,15, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
565,15, ,1.224.607.948,52.148.434,870.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
566,15, ,1.689.563.928,5.043.033.672,4.940.000,1.5m Overhang,"Height: 3.6m, Width: 5m",135
567,15, ,221.075.542,2.367.619.413,6.345.000,1.5m Overhang,"Height: 3.6m, Width: 10m",45
568,15, ,120.823.609,542.056.697,925.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",0
569,15, ,122.810.105,4.454.607.739,645.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",0
570,15, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
571,15, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
572,15, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
573,15, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
574,15, ,1.634.379.746,517.432.085,4.165.000,0.2m Louvre,"Height: 3.6m, Width: 5m",135
575,15, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
576,15, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
577,15, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
578,15, ,227.628.024,132.610.171,5.960.000,1.0m Overhang,"Height: 3.6m, Width: 5m",0
579,15, ,22.517.112,2.189.325.727,7.215.000,1.5m Overhang,"Height: 3.6m, Width: 1m",315
580,15, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
581,15, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
582,15, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
583,15, ,1.087.287.474,5.706.929.575,915.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
584,15, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
585,15, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
586,15, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
587,15, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
588,15, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
589,15, ,128.063.505,487.914.397,690.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",45
590,15, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
591,15, ,1.137.351.276,560.836.052,985.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
592,15, ,1.061.363.068,6.447.869.851,1.345.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
593,15, ,1.892.127.142,391.701.447,5.285.000,2.0m Overhang,"Height: 3.6m, Width: 1m",270
594,15, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
595,15, ,1.273.045.597,552.318.827,940.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",90
596,15, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
597,15, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
598,15, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
599,15, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
600,15, ,1.291.681.839,591.127.129,1.215.000,5m Overhang,"Height: 3.6m, Width: 10m",135
601,15, ,162.158.528,3.289.090.309,1.230.000,2m Sidefin,"Height: 3.6m, Width: 1m",0
602,15, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
603,15, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
604,15, ,26.109.889,304.988.715,9.960.000,0.5m Overhang,"Height: 3.6m, Width: 10m",270
605,15, ,1.778.788.851,4.882.993.829,6.250.000,1.0m Overhang,"Height: 3.6m, Width: 5m",135
606,15, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
607,15, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
608,15, ,227.628.024,132.610.171,5.960.000,1.0m Overhang,"Height: 3.6m, Width: 5m",0
609,16, ,1.064.877.923,6.565.799.814,1.450.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",135
610,16, ,1.041.945.468,6.597.356.278,1.425.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
611,16, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
612,16, ,1.137.351.276,560.836.052,985.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
613,16, ,29.231.932,1.009.509.023,12.310.000,1.5m Sidefin,"Height: 3.6m, Width: 10m",0
614,16, ,206.476.831,3.626.756.755,7.840.000,2.0m Overhang,"Height: 3.6m, Width: 2.5m",90
615,16, ,212.518.442,3.681.572.191,7.045.000,1.5m Overhang,"Height: 3.6m, Width: 5m",270
616,16, ,220.234.426,2.167.309.106,6.810.000,1.5m Overhang,"Height: 3.6m, Width: 5m",315
617,16, ,1.392.649.646,460.856.587,630.000,5m Overhang,"Height: 3.6m, Width: 1m",90
618,16, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
619,16, ,1.250.621.485,605.827.646,1.280.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",135
620,16, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
621,16, ,132.686.536,42.517.927,550.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 2.5m",45
622,16, ,1.058.487.165,6.002.975.435,1.060.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
623,16, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
624,16, ,1.069.318.178,5.874.044.331,1.005.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
625,16, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
626,16, ,1.270.076.966,454.901.225,645.000,5m Overhang,"Height: 3.6m, Width: 1m",0
627,16, ,290.444.663,155.359.992,11.990.000,0.5m Sidefin,"Height: 3.6m, Width: 2.5m",315
628,16, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
629,16, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
630,16, ,1.270.076.966,454.901.225,645.000,5m Overhang,"Height: 3.6m, Width: 1m",0
631,16, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
632,16, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
633,16, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
634,16, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
635,16, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
636,16, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
637,16, ,195.002.162,2.577.841.685,4.460.000,2.0m Overhang,"Height: 3.6m, Width: 10m",315
638,16, ,22.237.795,2.298.088.117,6.440.000,1.5m Overhang,"Height: 3.6m, Width: 5m",45
639,16, ,29.052.664,998.629.251,11.970.000,0.5m Sidefin,"Height: 3.6m, Width: 5m",0
640,16, ,207.147.831,2.166.349.961,3.685.000,2.0m Overhang,"Height: 3.6m, Width: 1m",45
641,16, ,30.071.439,9.297.241,12.905.000,No shading,"Height: 3.6m, Width: 2.5m",0
642,16, ,263.679.338,108.836.402,8.880.000,0.5m Overhang,"Height: 3.6m, Width: 5m",0
643,16, ,305.199.054,15.691.766,15.220.000,No shading,"Height: 3.6m, Width: 1m",45
644,16, ,323.753.418,129.175.119,13.825.000,No shading,"Height: 3.6m, Width: 10m",315
645,16, ,1.778.683.435,4.992.588.624,6.420.000,2m Sidefin,"Height: 3.6m, Width: 5m",135
646,16, ,30.534.583,91.941.886,13.385.000,No shading,"Height: 3.6m, Width: 5m",0
647,16, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
648,16, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
649,16, ,21.613.062,1.604.816.156,5.295.000,0.5m Sidefin,"Height: 3.6m, Width: 1m",0
650,16, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
651,16, ,1.058.487.165,6.002.975.435,1.060.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
652,16, ,263.857.055,1.257.117.133,9.955.000,2m Sidefin,"Height: 3.6m, Width: 5m",0
653,16, ,175.987.072,3.067.772.779,980.000,2.5m Overhang,"Height: 3.6m, Width: 10m",45
654,16, ,212.411.079,2.531.712.181,6.355.000,2.0m Overhang,"Height: 3.6m, Width: 1m",315
655,16, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
656,16, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
657,16, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
658,17, ,1.041.945.468,6.597.356.278,1.425.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
659,17, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
660,17, ,1.270.076.966,454.901.225,645.000,5m Overhang,"Height: 3.6m, Width: 1m",0
661,17, ,132.686.536,42.517.927,550.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 2.5m",45
662,17, ,1.686.934.043,5.112.557.087,5.470.000,1m Sidefin,"Height: 3.6m, Width: 2.5m",135
663,17, ,1.101.939.197,630.740.772,1.310.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 1m",135
664,17, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
665,17, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
666,17, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
667,17, ,248.221.393,18.202.195,9.145.000,1.0m Overhang,"Height: 3.6m, Width: 2.5m",315
668,17, ,260.058.577,3.160.334.874,11.680.000,0.5m Overhang,"Height: 3.6m, Width: 2.5m",90
669,17, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
670,17, ,1.087.287.474,5.706.929.575,915.000,1.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
671,17, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
672,17, ,168.528.902,2.993.624.855,1.385.000,1.5m Sidefin,"Height: 3.6m, Width: 1m",0
673,17, ,1.208.838.221,520.900.623,765.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",45
674,17, ,1.270.076.966,454.901.225,645.000,5m Overhang,"Height: 3.6m, Width: 1m",0
675,17, ,1.083.241.469,6.230.275.678,1.225.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
676,17, ,177.982.643,3.524.475.866,2.910.000,2m Sidefin,"Height: 3.6m, Width: 1m",45
677,17, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
678,17, ,113.659.494,6.452.285.693,1.430.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",270
679,17, ,30.534.583,91.941.886,13.385.000,No shading,"Height: 3.6m, Width: 5m",0
680,17, ,1.440.778.321,493.561.476,1.115.000,0.5m Overhang,"Height: 3.6m, Width: 5m",180
681,17, ,132.686.536,42.517.927,550.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 2.5m",45
682,17, ,1.083.241.469,6.230.275.678,1.225.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
683,17, ,132.686.536,42.517.927,550.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 2.5m",45
684,17, ,201.395.327,1.773.544.433,3.605.000,0.2m Louvre,"Height: 3.6m, Width: 1m",0
685,17, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
686,17, ,1.069.318.178,5.874.044.331,1.005.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
687,17, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
688,17, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
689,17, ,1.069.318.178,5.874.044.331,1.005.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
690,17, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
691,17, ,1.041.945.468,6.597.356.278,1.425.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
692,17, ,30.128.203,94.685.002,12.975.000,0.5m Sidefin,"Height: 3.6m, Width: 10m",0
693,17, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
694,17, ,272.021.046,2.983.727.156,12.255.000,No shading,"Height: 3.6m, Width: 1m",90
695,17, ,1.936.854.777,4.530.561.474,7.910.000,No shading,"Height: 3.6m, Width: 1m",135
696,17, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
697,17, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
698,17, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
699,17, ,177.537.068,2.040.123.513,1.625.000,2.0m Overhang,"Height: 3.6m, Width: 10m",0
700,17, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
701,17, ,184.553.922,1.912.312.397,2.245.000,2.5m Overhang,"Height: 3.6m, Width: 1m",0
702,17, ,1.874.215.248,4.005.089.896,5.630.000,2.5m Overhang,"Height: 3.6m, Width: 5m",90
703,17, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
704,18, ,215.874.744,1.970.879.626,5.640.000,2.5m Sidefin,"Height: 3.6m, Width: 2.5m",0
705,18, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
706,18, ,193.371.169,227.910.893,2.100.000,2.5m Overhang,"Height: 3.6m, Width: 1m",45
707,18, ,226.211.054,13.115.674,6.025.000,1.0m Overhang,"Height: 3.6m, Width: 1m",0
708,18, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
709,18, ,1.046.937.872,6.633.803.044,1.465.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",225
710,18, ,284.375.595,293.262.103,12.780.000,No shading,"Height: 3.6m, Width: 2.5m",90
711,18, ,1.237.914.399,61.293.286,1.305.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",135
712,18, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
713,18, ,126.804.822,478.642.786,725.000,5m Overhang,"Height: 3.6m, Width: 2.5m",0
714,18, ,172.465.475,3.220.715.498,1.305.000,1.5m Sidefin + 1.5m Overhang,"Height: 3.6m, Width: 2.5m",45
715,18, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
716,18, ,1.069.318.178,5.874.044.331,1.005.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
717,18, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
718,18, ,247.295.905,1.914.830.613,10.235.000,1.0m Overhang,"Height: 3.6m, Width: 1m",45
719,18, ,224.968.183,2.048.083.115,6.250.000,1.5m Overhang,"Height: 3.6m, Width: 1m",45
720,18, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
721,18, ,200.923.881,1.617.513.246,3.540.000,1.5m Overhang,"Height: 3.6m, Width: 5m",0
722,18, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
723,18, ,207.689.731,1.497.540.627,4.165.000,1.5m Overhang,"Height: 3.6m, Width: 1m",0
724,18, ,247.295.905,1.914.830.613,10.235.000,1.0m Overhang,"Height: 3.6m, Width: 1m",45
725,18, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
726,18, ,198.840.695,1.649.471.106,3.445.000,1.5m Overhang,"Height: 3.6m, Width: 10m",0
727,18, ,1.041.945.468,6.597.356.278,1.425.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
728,18, ,194.214.138,1.699.040.819,2.955.000,2.0m Overhang,"Height: 3.6m, Width: 1m",0
729,18, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
730,18, ,286.673.045,967.846.774,11.645.000,No shading,"Height: 3.6m, Width: 1m",0
731,18, ,214.961.635,2.492.077.161,6.065.000,0.2m Louvre,"Height: 3.6m, Width: 2.5m",45
732,18, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
733,18, ,25.240.568,1.130.985.242,8.185.000,0.5m Overhang,"Height: 3.6m, Width: 1m",0
734,18, ,247.295.905,1.914.830.613,10.235.000,1.0m Overhang,"Height: 3.6m, Width: 1m",45
735,18, ,181.111.187,1.969.325.676,1.815.000,2.0m Overhang,"Height: 3.6m, Width: 5m",0
