Info,Info,Info,Objective,Objective,Extra Output,Variable,Variable,Variable
Iteration,Generation,Category,Cooling (Electric) (kWh),Heating (Gas) (kWh),Discomfort (All Clothing) (hr),Local shading type,Window Size,Site orientation (°)
53,2, ,212.518.442,3.681.572.191,7.045.000,1.5m Overhang,"Height: 3.6m, Width: 5m",270
54,2, ,1.171.749.255,611.534.739,1.245.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",225
55,2, ,192.511.408,4.512.840.349,6.180.000,No shading,"Height: 3.6m, Width: 1m",225
56,2, ,1.315.038.402,567.810.486,1.045.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",90
57,2, ,1.046.937.872,6.633.803.044,1.465.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",225
58,2, ,163.282.007,3.424.007.576,675.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 10m",45
59,2, ,1.517.751.755,5.393.460.519,2.115.000,2.5m Overhang,"Height: 3.6m, Width: 10m",135
60,3, ,200.937.215,2.647.514.382,5.640.000,1m Sidefin,"Height: 3.6m, Width: 1m",315
61,3, ,1.745.304.989,4.902.194.657,4.980.000,1.0m Overhang,"Height: 3.6m, Width: 5m",225
62,3, ,1.315.038.402,567.810.486,1.045.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",90
63,3, ,1.196.902.504,611.031.389,1.305.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",180
64,3, ,181.321.019,561.647.821,6.190.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",270
65,3,Pareto,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
66,3, ,1.137.351.276,560.836.052,985.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
67,3, ,172.132.536,3.522.686.493,3.255.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",315
68,3, ,1.234.887.299,605.125.597,1.265.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",225
69,3, ,1.245.335.583,5.789.442,1.160.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 10m",180
70,3, ,1.728.483.382,4.633.472.078,4.325.000,2.5m Sidefin + 2.5m Overhang,"Height: 3.6m, Width: 10m",90
71,3, ,1.309.543.007,457.085.961,600.000,5m Overhang,"Height: 3.6m, Width: 2.5m",45
72,3, ,172.132.536,3.522.686.493,3.255.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",315
73,3, ,304.608.678,145.073.891,12.735.000,2.5m Sidefin,"Height: 3.6m, Width: 10m",315
74,3,Pareto,153.462.361,279.741.444,635.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 5m",0
75,3, ,1.341.097.851,54.656.196,1.135.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",270
76,3, ,305.199.054,15.691.766,15.220.000,No shading,"Height: 3.6m, Width: 1m",45
77,3, ,192.511.408,4.512.840.349,6.180.000,No shading,"Height: 3.6m, Width: 1m",225
78,3, ,271.724.096,203.365.094,12.615.000,1m Sidefin,"Height: 3.6m, Width: 2.5m",45
79,3, ,1.257.516.278,551.475.882,1.075.000,2m Sidefin,"Height: 3.6m, Width: 2.5m",180
80,4, ,182.141.877,2.454.303.763,2.285.000,1m Sidefin,"Height: 3.6m, Width: 1m",0
81,4, ,1.177.759.906,510.005.239,715.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",45
82,4, ,173.787.907,3.691.828.077,2.630.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",45
