"Info","Info","Info","Objective","Objective","Extra Output","Extra Output","Variable","Variable",
"Iteration","Generation","Category","Cooling (Electric) (kWh)","Heating (Gas) (kWh)","Discomfort (All Clothing) (hr)","Lighting Energy (kWh)","Local shading type","Window Size","","","","","","","","",
"51","2"," ","21240.3089","5783.770871","953.5000","2631.63","0.5m Sidefin","Height: 3.6m, Width: 10m",
"52","2"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"53","2","Pareto","17748.6134","6430.33693","634.0000","2635.65","0.5m Overhang","Height: 3.6m, Width: 2.5m",
"54","2"," ","7592.96811","12178.21009","239.5000","3758.88","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 2.5m",
"55","2"," ","7444.761095","13207.65615","270.0000","3497.39","0.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"56","2"," ","7282.802715","13578.2455","291.5000","3664.29","2m Sidefin + 5m Overhang","Height: 3.6m, Width: 5m",
"57","2","Pareto","20124.5051","6177.487779","883.0000","2649.21","2.5m Sidefin","Height: 3.6m, Width: 10m",
"58","2"," ","16964.4016","7143.78094","626.0000","2697.42","1m Sidefin","Height: 3.6m, Width: 2.5m",
"59","2","Pareto","9437.2725","9802.68373","128.0000","2908.66","2.5m Overhang","Height: 3.6m, Width: 1m",
"60","3"," ","7054.769154","13761.37606","317.0000","5120.14","2.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"61","3"," ","14605.4842","7920.01156","453.0000","2749.77","0.5m Sidefin","Height: 3.6m, Width: 1m",
"62","3"," ","20303.7683","6107.625097","892.5000","2637.93","2m Sidefin","Height: 3.6m, Width: 10m",
"63","3"," ","7051.617165","14214.86724","325.5000","4126.54","1.5m Sidefin + 1.5m Louvre","Height: 3.6m, Width: 2.5m",
"64","3"," ","7499.571426","13674.20255","320.5000","7140.34","2m Sidefin + 2m Louvre","Height: 3.6m, Width: 1m",
"65","3","Pareto","21223.6789","5746.054473","954.0000","2634.75","No shading","Height: 3.6m, Width: 2.5m",
"66","3"," ","20536.6849","6015.0061","905.5000","2637.78","1.5m Sidefin","Height: 3.6m, Width: 10m",
"67","3"," ","10587.0096","10653.8335","276.0000","3270.27","2m Sidefin","Height: 3.6m, Width: 1m",
"68","3"," ","7116.646754","13117.31315","293.0000","5914.23","2.5m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 1m",
"69","3"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"70","3"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"71","3"," ","12045.4539","9484.08235","317.5000","2994.28","1m Sidefin","Height: 3.6m, Width: 1m",
"72","3"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"73","3","Pareto","19465.9433","6297.55068","823.5000","2665.08","1m Sidefin","Height: 3.6m, Width: 5m",
"74","3"," ","11098.0738","8795.84985","164.0000","2862.03","2.0m Overhang","Height: 3.6m, Width: 5m",
"75","3"," ","20385.2137","6001.117889","890.0000","2632.20","0.5m Sidefin","Height: 3.6m, Width: 5m",
"76","3"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"77","3","Pareto","12022.5133","8184.90322","228.0000","2868.15","1.5m Overhang","Height: 3.6m, Width: 1m",
"78","3","Pareto","12754.5212","7960.43102","269.5000","2832.08","1.5m Overhang","Height: 3.6m, Width: 5m",
"79","3"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"80","4"," ","7054.769154","13761.37606","317.0000","5120.14","2.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 2.5m",
"81","4"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"82","4"," ","7214.784712","13713.62462","299.0000","3768.52","2.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 5m",
"83","4"," ","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"84","4"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"85","4"," ","8101.60088","11703.64352","200.0000","2697.56","0.5m Sidefin + 0.5m Louvre","Height: 3.6m, Width: 5m",
